Dif	MachName	Rte	Cnt	Dly
// 난이도 1
1	E_Tank_22	70	3	1
1	E_Tank_23	30	5	2
1	E_Tank_21	30	5	1
1	E_Tank_01	30	20	1
1	E_Tank_03	100	15	2
1	E_Tank_04	100	10	2

// 난이도 2
2	E_Tank_19	90	5	1
2	E_Tank_21	10	5	1
2	E_Tank_32	99	3	2
2	E_Tank_28	120	5	2
2	E_Tank_02	100	10	2
// 난이도 3
3	E_Tank_21	80	3	1
3	E_Tank_19	70	7	1
3	E_Tank_24	80	5	1
3	E_Tank_31	99	3	2
3	E_Tank_02	70	10	1
3	E_Tank_02	100	10	2

// 난이도 4
4	E_Tank_26	50	5	2
4	E_Tank_17	80	5	1
4	E_Tank_19	70	5	2
4	E_Tank_21	30	5	1
4	E_Tank_29	99	3	2
4	E_Tank_02	100	10	2

// 난이도 5
5	E_Tank_19	80	5	2
5	E_Tank_25	90	5	1
5	E_Tank_26	10	5	1
5	E_Tank_30	99	7	2
5	E_Tank_07	99	10	1
5	E_Tank_02	100	10	2
