Dif	MachName	Rte	Cnt	Dly
// 난이도 1
1	E_Tank_16	120	9	2
1	E_Tank_17	90	4	2
1	E_Tank_17	10	4	6

// 난이도 2
2	E_Tank_16	120	9	2
2	E_Tank_17	90	4	2
2	E_Tank_18	10	4	4
2	E_Tank_32	99	1	6

// 난이도 3
3	E_Tank_17	50	6	2
3	E_Tank_16	80	4	2
3	E_Tank_19	70	2	6
3	E_Tank_18	10	2	4
3	E_Tank_21	99	3	6

// 난이도 4
4	E_Tank_17	50	6	2
4	E_Tank_16	80	4	2
4	E_Tank_19	70	2	4
4	E_Tank_18	10	4	6

// 난이도 5
5	E_Tank_19	80	4	4
5	E_Tank_16	10	4	2
5	E_Tank_17	90	6	2
5	E_Tank_19	10	4	6
5	E_Tank_29	99	1	6
