Dif	MachName	Rte	Cnt	Dly
// 난이도 1
1	E_Tank_01	120	15	3
1	E_Tank_02	50	10	2
1	E_Tank_01	70	7	6

// 난이도 2
2	E_Tank_16	120	9	3
2	E_Tank_16	90	4	2
2	E_Tank_17	10	4	6
2	E_Tank_23	99	1	6

// 난이도 3
3	E_Tank_15	50	6	3
3	E_Tank_15	80	4	2
3	E_Tank_15	70	2	6
3	E_Tank_18	10	2	6
3	E_Tank_32	99	1	6

// 난이도 4
4	E_Tank_07	50	9	3
4	E_Tank_07	80	9	3
4	E_Tank_08	70	9	2
4	E_Tank_07	10	8	6

// 난이도 5
5	E_Tank_18	80	4	5
5	E_Tank_16	10	4	2
5	E_Tank_15	90	6	3
5	E_Tank_19	10	4	6
5	E_Tank_21	99	2	6
