Dif	MachName	Rte	Cnt	Dly
// 난이도 1
1	E_Tank_17	120	10	2
1	E_Tank_18	90	9	2
1	E_Tank_19	10	4	4
1	E_Tank_21	99	1	6

// 난이도 2
2	E_Tank_16	120	9	2
2	E_Tank_17	90	9	2
2	E_Tank_19	10	8	4
2	E_Tank_32	99	1	6

// 난이도 3
3	E_Tank_17	50	9	2
3	E_Tank_18	80	9	2
3	E_Tank_19	70	2	5
3	E_Tank_18	10	6	6
3	E_Tank_24	99	2	6

// 난이도 4
4	E_Tank_17	50	9	2
4	E_Tank_16	80	9	2
4	E_Tank_19	70	4	5
4	E_Tank_18	10	4	6

// 난이도 5
5	E_Tank_19	80	4	5
5	E_Tank_16	10	9	2
5	E_Tank_17	90	9	2
5	E_Tank_19	10	4	4
5	E_Tank_21	99	3	6
