Dif	MachName	Rte	Cnt	Dly
// 난이도 1
1	E_Tank_21	70	1	4
1	E_Tank_18	90	7	2
1	E_Tank_19	10	5	2
1	E_Tank_30	99	2	5
1	E_Tank_22	30	1	4
1	E_Tank_01	100	15	2
1	E_Tank_03	100	7	2

// 난이도 2
2	E_Tank_16	120	5	1
2	E_Tank_17	90	5	2
2	E_Tank_19	10	7	2
2	E_Tank_32	99	2	5
2	E_Tank_15	120	5	6
2	E_Tank_01	100	10	2

// 난이도 3
3	E_Tank_17	50	7	2
3	E_Tank_18	80	5	1
3	E_Tank_19	70	7	2
3	E_Tank_22	80	2	4
3	E_Tank_31	99	2	5

// 난이도 4
4	E_Tank_24	50	1	4
4	E_Tank_17	80	5	2
4	E_Tank_19	70	5	2
4	E_Tank_18	10	7	1
4	E_Tank_26	99	2	4
4	E_Tank_01	100	10	2

// 난이도 5
5	E_Tank_19	80	5	1
5	E_Tank_23	90	2	4
5	E_Tank_22	10	2	3
5	E_Tank_27	99	3	5
