Dif	MachName	Rte	Cnt	Dly
// 난이도 1
1	E_Tank_17	120	10	2
1	E_Tank_18	90	11	6
1	E_Tank_19	10	8	4
1	E_Tank_25	99	2	6
1	E_Tank_06	120	10	2

// 난이도 2
2	E_Tank_16	120	11	2
2	E_Tank_17	90	15	6
2	E_Tank_19	10	5	4
2	E_Tank_32	99	1	6
2	E_Tank_07	120	10	2

// 난이도 3
3	E_Tank_17	50	12	2
3	E_Tank_18	80	10	2
3	E_Tank_19	70	5	6
3	E_Tank_18	10	3	4
3	E_Tank_26	99	3	6

// 난이도 4
4	E_Tank_17	50	10	2
4	E_Tank_16	80	10	2
4	E_Tank_19	70	5	6
4	E_Tank_18	10	6	4
4	E_Tank_04	120	7	6

// 난이도 5
5	E_Tank_19	80	5	4
5	E_Tank_17	90	15	2
5	E_Tank_19	10	5	2
5	E_Tank_24	99	3	6
