Dif	MachName	Rte	Cnt	Dly
// 난이도 1
1	E_Tank_08	70	7	4
1	E_Tank_13	50	2	7
1	E_Tank_17	30	1	6
1	E_Tank_07	90	6	3
1	E_Tank_21	90	1	6

// 난이도 2
2	E_Tank_08	120	8	5
2	E_Tank_08	90	5	3
2	E_Tank_16	10	1	6

// 난이도 3
3	E_Tank_13	30	1	6
3	E_Tank_07	10	9	5
3	E_Tank_09	70	7	3
3	E_Tank_08	90	5	6

// 난이도 4
4	E_Tank_08	50	9	5
4	E_Tank_09	80	3	6
4	E_Tank_09	70	6	3
4	E_Tank_18	10	2	6

// 난이도 5
5	E_Tank_08	50	5	4
5	E_Tank_08	80	3	5
5	E_Tank_10	10	3	3
5	E_Tank_09	90	8	6
5	E_Tank_19	70	1	6
