Dif	MachName	Rte	Cnt	Dly
// 난이도 1
1	E_Tank_08	70	8	3
1	E_Tank_13	50	8	4
1	E_Tank_17	30	1	6
1	E_Tank_09	90	5	6

// 난이도 2
2	E_Tank_08	120	8	3
2	E_Tank_09	90	3	3
2	E_Tank_17	10	1	6

// 난이도 3
3	E_Tank_14	30	1	6
3	E_Tank_08	10	8	3
3	E_Tank_09	70	8	3
3	E_Tank_08	90	5	6

// 난이도 4
4	E_Tank_08	50	9	3
4	E_Tank_09	80	3	6
4	E_Tank_10	70	2	3
4	E_Tank_18	10	1	6
4	E_Tank_22	120	1	6

// 난이도 5
5	E_Tank_09	50	2	3
5	E_Tank_09	80	3	5
5	E_Tank_10	10	3	6
5	E_Tank_09	90	8	3
5	E_Tank_19	10	2	6
