Dif	MachName	Rte	Cnt	Dly
// 난이도 1
1	E_Tank_13	70	8	3
1	E_Tank_15	50	2	3
1	E_Tank_18	30	2	6

// 난이도 2
2	E_Tank_14	120	6	3
2	E_Tank_13	90	4	3
2	E_Tank_17	10	2	6
2	E_Tank_28	99	1	6

// 난이도 3
3	E_Tank_05	30	10	3
3	E_Tank_02	10	15	2
3	E_Tank_01	70	4	6
3	E_Tank_03	90	9	6

// 난이도 4
4	E_Tank_12	50	9	3
4	E_Tank_12	80	4	3
4	E_Tank_14	70	2	6
4	E_Tank_18	10	2	6
4	E_Tank_26	99	1	6

// 난이도 5
5	E_Tank_15	50	2	5
5	E_Tank_13	80	4	5
5	E_Tank_12	10	4	3
5	E_Tank_13	90	6	3
5	E_Tank_19	10	4	6
