Dif	MachName	Rte	Cnt	Dly
// 난이도 1
1	E_Tank_08	70	8	3
1	E_Tank_12	50	2	7
1	E_Tank_17	30	1	6
1	E_Tank_07	90	10	5
1	E_Tank_21	120	1	6

// 난이도 2
2	E_Tank_08	120	9	5
2	E_Tank_08	90	5	3
2	E_Tank_16	10	1	6

// 난이도 3
3	E_Tank_12	30	2	6
3	E_Tank_07	10	10	4
3	E_Tank_09	70	9	3
3	E_Tank_08	90	5	3

// 난이도 4
4	E_Tank_08	50	9	5
4	E_Tank_09	80	3	3
4	E_Tank_09	70	8	6
4	E_Tank_18	10	1	6

// 난이도 5
5	E_Tank_08	50	9	5
5	E_Tank_08	80	4	5
5	E_Tank_10	10	3	6
5	E_Tank_09	90	8	3
5	E_Tank_19	10	1	6
