Dif	MachName	Rte	Cnt	Dly
// 난이도 1
1	E_Tank_22	70	2	1
1	E_Tank_23	30	3	3
1	E_Tank_17	90	9	2
1	E_Tank_16	90	5	2
1	E_Tank_02	100	15	2
1	E_Tank_03	100	7	2

// 난이도 2
2	E_Tank_19	90	5	2
2	E_Tank_21	10	4	3
2	E_Tank_32	99	2	3
2	E_Tank_28	120	3	1
2	E_Tank_01	100	10	2

// 난이도 3
3	E_Tank_21	80	2	3
3	E_Tank_19	70	7	1
3	E_Tank_24	80	3	3
3	E_Tank_31	99	2	3

// 난이도 4
4	E_Tank_26	50	3	3
4	E_Tank_17	80	5	1
4	E_Tank_19	70	5	2
4	E_Tank_21	30	2	1
4	E_Tank_28	99	3	3
4	E_Tank_01	100	10	2

// 난이도 5
5	E_Tank_01	100	10	2
5	E_Tank_19	80	5	1
5	E_Tank_25	90	4	2
5	E_Tank_24	10	3	2
5	E_Tank_29	99	5	3
