Dif	MachName	Rte	Cnt	Dly
// 난이도 1
1	E_Tank_17	70	15	2
1	E_Tank_18	90	11	4
1	E_Tank_19	10	8	6
1	E_Tank_26	99	2	6
1	E_Tank_07	120	10	2

// 난이도 2
2	E_Tank_16	120	13	2
2	E_Tank_17	90	15	3
2	E_Tank_19	10	5	6
2	E_Tank_32	99	1	6
2	E_Tank_08	120	10	2

// 난이도 3
3	E_Tank_17	50	13	2
3	E_Tank_18	80	13	2
3	E_Tank_19	70	5	6
3	E_Tank_18	10	3	3
3	E_Tank_27	99	3	6

// 난이도 4
4	E_Tank_17	50	13	2
4	E_Tank_16	80	10	2
4	E_Tank_19	70	5	6
4	E_Tank_18	10	6	6
4	E_Tank_04	120	7	3

// 난이도 5
5	E_Tank_19	80	6	2
5	E_Tank_17	90	15	2
5	E_Tank_19	10	5	3
5	E_Tank_25	99	3	6
