Dif	MachName	Rte	Cnt	Dly
// 난이도 1
1	E_Tank_08	120	10	3
1	E_Tank_09	50	10	3
1	E_Tank_08	70	10	6

// 난이도 2
2	E_Tank_16	120	9	3
2	E_Tank_17	90	4	2
2	E_Tank_17	10	4	6
2	E_Tank_21	99	2	6

// 난이도 3
3	E_Tank_15	50	6	3
3	E_Tank_16	80	4	2
3	E_Tank_15	70	2	6
3	E_Tank_18	10	2	6
3	E_Tank_32	99	1	6

// 난이도 4
4	E_Tank_17	50	6	3
4	E_Tank_16	80	4	2
4	E_Tank_19	70	2	6
4	E_Tank_18	10	2	6

// 난이도 5
5	E_Tank_18	80	4	5
5	E_Tank_16	10	4	2
5	E_Tank_17	90	6	2
5	E_Tank_19	10	4	6
5	E_Tank_26	99	1	6
